,Numero Contratti,Volume Ultimo,Volume totale,Prezzo ufficiale,Rendimento effettivo a scadenza netto,Rendimento effettivo a scadenza lordo,Duration modificata,Scadenza,Tasso Cedola su base Annua,anni_scadenza,median_monthly_volume_million,min_monthly_volume_million,max_monthly_volume_million,ratings
IT0005648248,0.0,0.0,0.0,,,,,,,,6533.26,6533.26,6533.26,100
IT0005611741,1461.0,47000.0,83738000.0,98.36132,3.91,4.47,15.79,2054-10-01,4.3,29.15,1256.03,549.71,2117.75,100
IT0005534141,450.0,38000.0,27035000.0,102.22098,3.86,4.43,15.41,2053-10-01,,28.15,937.1,270.34,1209.51,100
IT0003934657,301.0,3000.0,16793000.0,103.96589,3.12,3.62,9.03,2037-02-01,,11.48,606.31,158.79,927.07,100
IT0005441883,709.0,57000.0,42245000.0,57.95345,3.86,4.27,22.5,2072-03-01,,46.58,570.29,212.83,1069.48,100
IT0005363111,363.0,6000.0,12780000.0,94.7763,3.75,4.26,14.73,2049-09-01,,24.07,531.38,156.78,914.33,100
IT0005425233,475.0,63000.0,24706000.0,60.98457,3.92,4.22,18.4,2051-09-01,,26.07,523.72,183.82,758.32,100
IT0005358806,237.0,39000.0,13374000.0,99.78701,2.99,3.42,7.86,2035-03-01,,9.55,507.2,203.46,604.09,100
IT0005217390,311.0,40000.0,13735000.0,70.73777,3.92,4.38,20.21,2067-03-01,,41.57,416.28,134.06,649.96,100
IT0005530032,127.0,62000.0,19555000.0,104.81234,3.58,4.14,12.0,2043-09-01,,18.06,375.72,96.25,536.21,100
IT0005582421,174.0,84000.0,18668000.0,103.27454,3.38,3.9,10.34,2039-10-01,4.15,14.14,339.43,100.88,685.5,100
IT0005635583,230.0,40000.0,11939000.0,98.99815,3.49,3.99,10.99,2040-10-01,3.85,15.14,318.06,191.79,500.19,99
IT0005273013,273.0,1000.0,15731000.0,89.60019,3.75,4.23,14.54,2048-03-01,,22.56,305.27,119.16,634.14,99
IT0005496770,173.0,41000.0,7787000.0,95.3504,3.34,3.77,9.82,2038-03-01,,12.55,275.1,94.44,459.07,99
IT0005083057,172.0,15000.0,5459000.0,87.64906,3.74,4.19,14.12,2046-09-01,,21.06,250.44,55.8,378.9,99
IT0005660029,97.0,1000.0,6861000.0,98.19227,1.76,2.01,0.9,2026-07-14,,0.92,243.94,79.0,408.89,99
IT0005611055,15.0,2000.0,966000.0,101.62535,2.23,2.61,3.78,2029-10-01,3.0,4.13,235.05,18.76,608.73,99
IT0005631608,95.0,1000.0,5142000.0,99.82498,3.64,4.17,13.42,2046-04-30,4.1,20.72,231.64,87.14,316.98,99
IT0005655037,27.0,50000.0,616000.0,98.36523,1.76,2.02,0.81,2026-06-12,,0.83,217.76,25.49,272.38,99
IT0005631590,39.0,1000.0,2153000.0,101.43718,3.06,3.52,8.16,2035-08-01,3.65,9.97,209.55,31.93,299.57,99
IT0005648149,48.0,5000.0,2065000.0,100.82155,3.1,3.56,8.21,2035-10-01,3.6,10.14,207.84,2.63,231.63,99
IT0005480980,168.0,59000.0,11228000.0,66.58533,3.93,4.28,17.87,2052-09-01,,27.07,200.35,60.49,321.78,98
IT0005377152,63.0,2000.0,1287000.0,91.65051,3.49,3.9,11.07,2040-03-01,,14.56,195.31,37.73,237.63,98
IT0005494239,127.0,15000.0,6892000.0,96.17124,2.78,3.13,6.47,2032-12-01,,7.3,188.41,76.76,259.28,98
IT0005584849,5.0,38000.0,172000.0,102.97288,2.15,2.57,3.57,2029-07-01,3.35,3.88,186.83,15.36,261.56,98
IT0005495731,21.0,3000.0,465000.0,101.14619,2.16,2.51,3.56,2029-06-15,,3.84,182.72,15.3,262.12,98
IT0005619546,38.0,16000.0,1755000.0,101.13164,2.6,3.0,5.53,2031-11-15,3.15,6.26,176.72,29.93,458.9,98
IT0004923998,64.0,21000.0,2379000.0,108.93762,3.54,4.12,12.28,2044-09-01,,19.06,176.42,46.51,209.51,98
IT0004532559,114.0,66000.0,6189000.0,112.79541,3.33,3.92,10.42,2040-09-01,,15.06,176.08,74.72,244.38,98
IT0005438004,150.0,15000.0,7164000.0,65.61996,3.85,4.1,15.62,2045-04-30,,19.72,175.85,38.62,234.38,98
IT0005454241,126.0,121000.0,4640000.0,98.22915,1.86,1.86,0.95,2026-08-01,,0.96,175.08,97.5,355.27,98
IT0005648255,70.0,50000.0,2832000.0,100.6607,2.92,3.35,4.44,2032-06-04,1.85,6.81,172.3,27.27,2257.42,97
IT0005433195,112.0,5000.0,6309000.0,74.85515,3.53,3.68,10.41,2037-03-01,,11.55,171.97,46.92,219.03,97
IT0005162828,94.0,20000.0,4811000.0,79.75181,3.8,4.19,14.88,2047-03-01,,21.56,163.69,48.49,200.16,97
IT0005398406,123.0,100000.0,5308000.0,72.79193,3.9,4.29,16.61,2050-09-01,,25.07,162.29,45.51,192.4,97
IT0005437147,74.0,145000.0,2794000.0,98.78108,1.91,1.93,0.62,2026-04-01,,0.63,160.18,58.22,236.31,97
IT0005421703,92.0,3000.0,4344000.0,75.20714,3.73,4.0,12.61,2041-03-01,,15.56,157.58,42.29,204.74,97
IT0005607970,19.0,10000.0,1946000.0,103.46288,2.98,3.46,7.78,2035-02-01,3.85,9.47,137.94,44.33,235.93,97
IT0005547408,104.0,12000.0,2148000.0,102.95067,1.85,2.34,1.74,2027-06-13,,1.83,137.68,35.62,252.16,97
IT0005410912,0.0,0.0,0.0,,,,,,,,137.14,30.76,339.91,97
IT0005583486,83.0,7000.0,1382000.0,103.82979,2.42,2.88,4.09,2030-03-05,3.25,4.56,133.23,22.35,261.05,97
IT0005542797,12.0,45000.0,929000.0,104.41329,2.26,2.74,4.34,2030-06-15,,4.84,131.98,31.1,191.68,96
IT0005321325,95.0,71000.0,5904000.0,92.0253,3.38,3.78,10.28,2038-09-01,,13.06,130.77,46.63,189.11,96
IT0005647265,12.0,10000.0,380000.0,101.083,2.72,3.13,6.05,2032-07-15,3.25,6.92,130.15,25.52,155.71,96
IT0004286966,46.0,84000.0,1627000.0,112.96335,3.25,3.84,10.07,2039-08-01,,13.97,127.73,37.58,201.66,96
IT0005365165,15.0,400000.0,714000.0,101.97711,2.12,2.49,3.68,2029-08-01,,3.97,126.21,8.11,246.07,96
IT0005240350,65.0,23000.0,2499000.0,94.81817,2.9,3.23,7.02,2033-09-01,,8.05,123.98,44.59,210.14,96
IT0005627853,30.0,45000.0,1053000.0,99.37543,1.63,1.93,0.33,2025-12-12,,0.33,123.33,49.95,493.25,96
AT0000A2HLC4,180.0,46000.0,8901000.0,30.89466,2.88,3.15,37.69,2020-06-30,0.85,-5.13,122.0,21.14,208.32,96
IT0005566408,4.0,1000.0,102000.0,105.48072,1.93,2.46,3.19,2029-02-01,4.1,3.47,119.16,7.89,165.04,96
IT0005560948,14.0,18000.0,1236000.0,106.77958,2.83,3.34,6.96,2034-03-01,,8.55,119.14,21.17,181.08,96
IT0005497000,61.0,15000.0,1508000.0,101.09529,2.56,2.96,3.32,2030-06-28,,4.87,116.42,25.03,198.08,95
IT0005654642,166.0,10000.0,6786000.0,99.64281,2.46,2.81,4.67,2030-10-01,2.7,5.13,116.1,96.03,186.2,95
IT0005517195,39.0,1000.0,695000.0,101.57526,2.28,2.67,2.28,2028-11-22,,3.28,115.96,18.91,242.71,95
IT0005177909,95.0,20000.0,7345000.0,88.15593,3.29,3.6,9.31,2036-09-01,,11.06,115.79,39.97,160.11,95
IT0005595803,17.0,12000.0,1667000.0,102.90213,2.51,2.95,5.25,2031-07-15,3.45,5.92,114.7,33.71,232.61,95
IT0005340929,15.0,1000.0,881000.0,101.51634,1.98,2.34,3.09,2028-12-01,,3.3,114.65,12.97,169.84,95
IT0005519787,22.0,14000.0,2789000.0,105.09299,2.14,2.61,3.93,2029-12-15,,4.34,113.34,16.48,224.16,95
IT0005584856,11.0,24000.0,471000.0,104.07527,2.9,3.38,7.36,2034-07-01,3.85,8.88,113.13,46.53,187.5,95
IT0005565400,106.0,5000.0,2545000.0,105.34687,2.08,2.61,2.89,2028-10-10,4.1,3.16,112.76,24.42,165.13,95
IT0005024234,22.0,4000.0,1191000.0,103.97639,2.16,2.6,4.08,2030-03-01,,4.55,111.82,7.3,164.63,95
IT0005436693,57.0,16000.0,7503000.0,87.59205,2.82,2.9,5.7,2031-08-01,,5.97,108.88,41.74,151.94,95
IT0005467482,35.0,10000.0,1373000.0,93.50395,2.34,2.41,3.39,2029-02-15,,3.51,108.24,15.91,188.13,94
IT0005634800,100.0,10000.0,1991000.0,100.69258,2.8,3.21,6.52,2033-02-25,2.85,7.54,107.95,38.39,179.07,94
IT0005402117,50.0,1000.0,3685000.0,81.7622,3.37,3.58,9.32,2036-03-01,,10.55,107.59,23.01,147.07,94
FR0014001NN8,221.0,1122.0,12218424.0,26.18214,3.88,4.04,33.44,2072-05-25,0.5,46.81,106.02,31.84,244.3,94
IT0005596470,44.0,9000.0,2532000.0,103.71783,3.21,3.72,9.35,2037-10-30,4.05,12.22,105.38,60.28,298.01,94
IT0005650574,16.0,172000.0,1191000.0,98.51907,1.76,2.01,0.74,2026-05-14,,0.75,102.18,13.61,336.36,94
IT0005637399,22.0,50000.0,1215000.0,101.00747,2.38,2.75,4.45,2030-07-01,2.95,4.88,101.12,6.63,166.88,94
IT0005508590,15.0,25000.0,589000.0,105.39183,2.9,3.4,7.84,2035-04-30,,9.72,98.72,27.96,164.69,94
IT0005532723,51.0,3000.0,1281000.0,102.47772,2.07,2.54,1.8,2028-03-14,,2.58,98.6,15.58,264.52,94
IT0005466013,46.0,17000.0,3209000.0,87.34402,2.9,3.04,6.38,2032-06-01,,6.8,98.04,32.32,133.15,94
IT0005544082,10.0,162000.0,897000.0,107.99377,2.75,3.28,6.75,2033-11-01,,8.22,97.23,22.96,162.28,93
IT0005594483,59.0,22000.0,1297000.0,103.64326,2.45,2.91,4.28,2030-05-14,3.35,4.75,94.85,24.86,176.33,93
IT0005518128,21.0,30000.0,932000.0,108.39554,2.68,3.21,6.4,2033-05-01,,7.72,94.68,22.05,212.99,93
IT0005433690,23.0,17000.0,662000.0,95.10019,2.19,2.23,2.52,2028-03-15,,2.59,93.98,17.12,153.82,93
IT0005240830,32.0,19000.0,485000.0,100.2686,1.79,2.09,1.73,2027-06-01,,1.8,86.33,9.91,174.56,93
IT0005611659,23.0,15000.0,1325000.0,99.84943,,,,2025-09-12,,0.08,85.43,43.73,476.1,93
